Current (A),Voltage (V)
-0.001,-5.587542
-0.0009487179487179488,-5.499904
-0.0008974358974358974,-5.393535
-0.0008461538461538462,-5.21984
-0.0007948717948717948,-5.026918
-0.0007435897435897436,-4.912002
-0.0006923076923076924,-4.708193
-0.000641025641025641,-4.570926
-0.0005897435897435897,-4.38237
-0.0005384615384615384,-4.087118
-0.0004871794871794872,-3.491825
-0.00043589743589743585,-3.174138
-0.0003846153846153846,-2.907933
-0.00033333333333333327,-2.541865
-0.00028205128205128203,-2.174065
-0.00023076923076923068,-1.728694
-0.00017948717948717944,-1.300857
-0.0001282051282051282,-0.8713425
-7.692307692307686e-05,-0.5754641
-2.564102564102562e-05,-0.178216
2.564102564102562e-05,0.1789161
7.692307692307707e-05,0.5285628
0.0001282051282051283,0.8222527
0.00017948717948717955,0.9955003
0.0002307692307692308,1.107402
0.00028205128205128203,1.201752
0.0003333333333333335,1.285636
0.0003846153846153847,1.364728
0.00043589743589743596,1.448209
0.0004871794871794872,1.518682
0.0005384615384615387,1.588293
0.0005897435897435899,1.660496
0.0006410256410256411,1.72434
0.0006923076923076924,1.785491
0.0007435897435897436,1.847166
0.0007948717948717951,1.908455
0.0008461538461538463,1.967274
0.0008974358974358975,2.027143
0.0009487179487179488,2.085726
0.001,2.142943
